<TICKER>,<DTYYYYMMDD>,<CLOSE>
همراه-ت,20201221,33700.00
همراه-ت,20201222,35090.00
همراه-ت,20201223,34950.00
همراه-ت,20201226,33390.00
همراه-ت,20201227,32940.00
همراه-ت,20201228,32650.00
همراه-ت,20201229,31880.00
همراه-ت,20201230,32030.00
همراه-ت,20210102,31340.00
همراه-ت,20210103,31210.00
همراه-ت,20210104,31440.00
همراه-ت,20210105,30450.00
همراه-ت,20210106,29480.00
همراه-ت,20210109,28980.00
همراه-ت,20210110,29140.00
همراه-ت,20210111,28810.00
همراه-ت,20210112,27430.00
همراه-ت,20210113,27970.00
همراه-ت,20210116,26640.00
همراه-ت,20210118,25840.00
همراه-ت,20210119,26120.00
همراه-ت,20210120,27340.00
همراه-ت,20210123,28670.00
همراه-ت,20210124,27930.00
همراه-ت,20210125,27690.00
همراه-ت,20210126,27020.00
همراه-ت,20210127,26920.00
همراه-ت,20210130,28110.00
همراه-ت,20210131,27980.00
همراه-ت,20210201,27700.00
همراه-ت,20210202,27190.00
همراه-ت,20210203,26330.00
همراه-ت,20210206,25060.00
همراه-ت,20210207,26290.00
همراه-ت,20210208,26270.00
همراه-ت,20210209,26280.00
همراه-ت,20210213,27080.00
همراه-ت,20210214,26990.00
همراه-ت,20210215,26760.00
همراه-ت,20210216,26570.00
همراه-ت,20210217,26480.00
همراه-ت,20210220,26660.00
همراه-ت,20210221,27370.00
همراه-ت,20210222,27100.00
همراه-ت,20210223,27020.00
همراه-ت,20210224,26840.00
همراه-ت,20210227,26710.00
همراه-ت,20210228,26590.00
همراه-ت,20210301,26170.00
همراه-ت,20210302,25860.00
همراه-ت,20210303,25560.00
همراه-ت,20210306,25290.00
همراه-ت,20210307,25090.00
همراه-ت,20210308,25290.00
همراه-ت,20210309,25570.00
همراه-ت,20210310,25430.00
همراه-ت,20210313,25470.00
همراه-ت,20210314,25280.00
همراه-ت,20210315,25060.00
همراه-ت,20210316,26230.00
همراه-ت,20210317,27010.00
همراه-ت,20210327,27810.00
همراه-ت,20210328,28170.00
همراه-ت,20210330,27970.00
همراه-ت,20210331,27630.00
همراه-ت,20210403,27460.00
همراه-ت,20210404,27170.00
همراه-ت,20210405,27070.00
همراه-ت,20210406,26900.00
همراه-ت,20210407,26740.00
همراه-ت,20210410,26610.00
همراه-ت,20210411,26470.00
همراه-ت,20210412,26240.00
همراه-ت,20210413,26220.00
همراه-ت,20210414,26330.00
همراه-ت,20210417,26190.00
همراه-ت,20210418,26070.00
همراه-ت,20210419,25850.00
همراه-ت,20210420,25750.00
همراه-ت,20210421,25440.00
همراه-ت,20210424,25300.00
همراه-ت,20210425,25080.00
همراه-ت,20210426,24940.00
همراه-ت,20210427,24540.00
همراه-ت,20210428,24300.00
